ID,Title,Vote Average,Date,Original Language,Genre IDs,IsMovie
12445,Harry Potter and the Deathly Hallows: Part 2,8.1,2011-07-12,en,"[14, 12]",True
32657,Percy Jackson & the Olympians: The Lightning Thief,6.2,2010-02-01,en,"[12, 14, 10751]",True
1154598,LEGO Marvel Avengers: Code Red,6.5,2023-10-26,en,"[16, 28, 10751]",True
438148,Minions: The Rise of Gru,7.4,2022-06-29,en,"[16, 35, 10751]",True
1092329,Journey to Bethlehem,7.9,2023-11-09,en,"[10402, 10751, 18]",True
121,The Lord of the Rings: The Two Towers,8.4,2002-12-18,en,"[12, 14, 28]",True
585083,Hotel Transylvania: Transformania,7,2022-02-25,en,"[16, 35, 10751, 12, 14]",True
438695,Sing 2,7.9,2021-12-01,en,"[16, 10751, 10402, 35]",True
1146225,Escaping Paradise,4.3,2023-07-08,en,"[53, 28]",True
991708,El Conde,6.3,2023-09-08,es,"[35, 27, 14]",True
252,Willy Wonka & the Chocolate Factory,7.5,1971-06-29,en,"[10751, 14, 35]",True
1145851,The Boogeyman: The Origin of the Myth,6.1,2023-08-11,es,"[27, 12]",True
829557,365 Days: This Day,5.8,2022-04-27,pl,"[10749, 18]",True
9502,Kung Fu Panda,7.3,2008-06-04,en,"[28, 12, 16, 10751, 35]",True
354912,Coco,8.2,2017-10-27,en,"[10751, 16, 14, 10402, 35, 12]",True
621587,Next Goal Wins,6.7,2023-11-16,en,"[35, 18]",True
956920,There's Something in the Barn,6.7,2023-11-02,no,"[35, 27, 14]",True
717930,Kandahar,6.9,2023-05-25,en,"[28, 53]",True
453395,Doctor Strange in the Multiverse of Madness,7.3,2022-05-04,en,"[14, 28, 12]",True
438631,Dune,7.8,2021-09-15,en,"[878, 12]",True
597,Titanic,7.9,1997-11-18,en,"[18, 10749]",True
8587,The Lion King,8.3,1994-06-24,en,"[10751, 16, 18]",True
8871,How the Grinch Stole Christmas,6.8,2000-11-17,en,"[10751, 35, 14]",True
150540,Inside Out,7.9,2015-06-09,en,"[16, 10751, 12, 18, 35]",True
566810,The Dark Kingdom,5.6,2018-11-26,en,"[14, 12, 878, 28]",True
1213997,Bitconned,5.9,2024-01-01,en,"[99, 80]",True
851644,20th Century Girl,8.2,2022-10-06,ko,"[10749, 18]",True
216015,Fifty Shades of Grey,5.9,2015-02-11,en,"[18, 10749, 53]",True
22,Pirates of the Caribbean: The Curse of the Black Pearl,7.8,2003-07-09,en,"[12, 14, 28]",True
1115710,The Mount 2,5.5,2023-05-12,en,[27],True
