ID	Title	Vote Average	Date	Original Language	Genre IDs	IsMovie
242263	The History of the Jungle	0	2024-01-24	es	[]	False
242990	Elles ont tué	0	2024-01-12	fr	[99, 80]	False
241605	Man In Europe	0	2024-01-13	ko	[10764]	False
241789	極限夫婦	0	2024-01-19	ja	[]	False
242718	Beside You	0	2024-01-11	th	[18]	False
243580	Familiae: Alpha Alpha	0	2024-01-14	fr	[10768, 10759, 80]	False
243669	On ramassera demain	0	2024-01-11	fr	[35]	False
242956	Ma version des faits	0	2024-01-11	fr	[99, 80]	False
240167	Blank Slate	0	2024-01-08	en	[]	False
241773	Penelope	0	2024-01-18	en	[18]	False
240777	ジャンヌの裁き	0	2024-01-12	ja	[9648, 35, 18]	False
241192	Kanojo to Kareshi no Akarui Mirai	0	2024-01-11	ja	[]	False
243390	Girls' Play	0	2024-01-11	ar	[10766, 10759, 80]	False
60333	Prime Weekend	0	2024-01-14	en	[]	False
238581	Una vida menos en Canarias	0	2024-01-28	es	[18, 80, 10759]	False
238870	Awake In The World	9	2024-01-17	es	[10765, 10759]	False
243466	VIDEO CAM SCAM	0	2024-01-12	hi	[80]	False
240271	院内警察	0	2024-01-12	ja	[80, 9648]	False
243357	Undercover: Caught on Tape	0	2024-01-11	en	[99, 80]	False
240775	Honey and Poison	0	2024-01-11	ja	[18]	False
1680	Best of The Beat with Ari Melber	0	2024-01-13	en	[]	False
241498	Born Winners	0	2024-01-13	nl	[]	False
243596	Batalla de restaurantes	0	2024-01-25	es	[10764]	False
242830	Мамонты	0	2024-01-25	ru	[]	False
243423	Kill Sera Sera	0	2024-01-08	zh	[80, 9648]	False
243340	Die Uitdaging	0	2024-01-11	af	[10764]	False
243372	Històries de la Primària	0	2024-01-18	ca	[]	False
241795	Futekisetsu ni mo Hodo ga Aru!	0	2024-01-26	ja	[18, 10765]	False
243709	Start-Up	0	2024-01-12	th	[]	False
243804	Likay Mor Lam	0	2024-01-08	th	[]	False
243798	Badi Heroine Banti Hai	7	2024-01-19	en	[]	False
243797	Hustlers: Jugaad Ka Khel	0	2024-01-24	hi	[18]	False
243791	Jorik	0	2024-01-19	nl	[99]	False
243776	Bonjour ! La Matinale TF1	0	2024-01-08	fr	[]	False
243762	我叫赵吴狄	0	2024-01-15	zh	[]	False
243754	Love Island: All Stars	0	2024-01-15	en	[10764]	False
242779	Иные	0	2024-01-25	ru	[]	False
243578	Happy Birth-Die	0	2024-01-12	id	[]	False
243607	Identita	0	2024-01-11	cs	[]	False
243395	TMZ Presents: UFO Revolution	8.5	2024-01-09	en	[99]	False
243594	헬로아트	0	2024-01-13	ko	[]	False
229820	Clive	0	2024-01-27	en	[37, 10759, 18]	False
243379	Secret Retreat	0	2024-01-09	en	[]	False
243651	Once Upon a New Year's Eve	0	2024-01-15	zh	[]	False
241606	Karmma Calling	0	2024-01-26	hi	[18]	False
241771	Lolla: The Story of Lollapalooza	0	2024-01-18	en	[99]	False
243496	Your Dream Kitchen for Less	0	2024-01-11	en	[]	False
